player_id,player_name,eligible_positions,adp,points
Yordan_Alvarez_H,Yordan Alvarez_H,OF;Util,30.2,879.5
Manny_Machado_H,Manny Machado_H,3B,30.4,774.9
Pete_Crow_Armstrong_H,Pete Crow-Armstrong_H,OF,30.4,726.5
James_Wood_H,James Wood_H,OF;Util,32.6,849.9
Zach_Neto_H,Zach Neto_H,SS,34.0,762.9
Bryan_Woo_P,Bryan Woo_P,SP,35.2,939.14
Matt_Olson_H,Matt Olson_H,1B,36.0,861.7
Hunter_Brown_P,Hunter Brown_P,SP,36.2,910.76
Bryce_Harper_H,Bryce Harper_H,1B,37.6,876.3
Chris_Sale_P,Chris Sale_P,SP,39.0,887.14
Logan_Gilbert_P,Logan Gilbert_P,SP,39.0,866.32
Brent_Rooker_H,Brent Rooker_H,OF;Util,41.4,877.5
Rafael_Devers_H,Rafael Devers_H,1B;Util,42.4,858.4
Mason_Miller_P,Mason Miller_P,RP,42.6,598.54
Wyatt_Langford_H,Wyatt Langford_H,OF,44.4,802.6
Max_Fried_P,Max Fried_P,SP,44.6,914.2
Brice_Turang_H,Brice Turang_H,2B,44.8,722.5
Logan_Webb_P,Logan Webb_P,SP,46.8,1025.94
Mookie_Betts_H,Mookie Betts_H,SS,46.8,810.8
Roman_Anthony_H,Roman Anthony_H,OF;Util,47.2,792.2
Edwin_Diaz_P,Edwin Diaz_P,RP,47.4,570.92
Cole_Ragans_P,Cole Ragans_P,SP,50.0,848.22
Freddie_Freeman_H,Freddie Freeman_H,1B,50.4,859.9
Jacob_deGrom_P,Jacob deGrom_P,SP,50.6,829.46
Cody_Bellinger_H,Cody Bellinger_H,OF,55.2,723.3
Austin_Riley_H,Austin Riley_H,3B,55.8,771.5
William_Contreras_H,William Contreras_H,C;Util,56.0,749.5
Freddy_Peralta_P,Freddy Peralta_P,SP,56.4,782.12
Josh_Naylor_H,Josh Naylor_H,1B;Util,57.6,733.7
Geraldo_Perdomo_H,Geraldo Perdomo_H,SS,60.8,761.8
Jarren_Duran_H,Jarren Duran_H,OF;Util,61.4,749.9
Cade_Smith_P,Cade Smith_P,RP,62.8,571.96
Jhoan_Duran_P,Jhoan Duran_P,RP,62.8,544.68
Riley_Greene_H,Riley Greene_H,OF;Util,62.8,792.4
Maikel_Garcia_H,Maikel Garcia_H,2B;3B;SS;OF,64.4,748.4
George_Kirby_P,George Kirby_P,SP,64.8,841.46
Ben_Rice_H,Ben Rice_H,C;1B;Util,65.4,664.5
Jackson_Merrill_H,Jackson Merrill_H,OF,65.6,737.8
Andres_Munoz_P,Andres Munoz_P,RP,66.0,533.44
Shea_Langeliers_H,Shea Langeliers_H,C;Util,67.8,667.9
CJ_Abrams_H,CJ Abrams_H,SS,68.6,692.5
Dylan_Cease_P,Dylan Cease_P,SP,71.2,852.28
Byron_Buxton_H,Byron Buxton_H,OF;Util,72.0,704.2
Jesus_Luzardo_P,Jesus Luzardo_P,SP,72.6,872.02
Joe_Ryan_P,Joe Ryan_P,SP,72.6,809.06
Hunter_Goodman_H,Hunter Goodman_H,C;Util,72.8,687.3
Framber_Valdez_P,Framber Valdez_P,SP,73.6,934.16
Vinnie_Pasquantino_H,Vinnie Pasquantino_H,1B;Util,74.4,771.1
George_Springer_H,George Springer_H,OF;Util,75.4,741.7
Kyle_Bradish_P,Kyle Bradish_P,SP,78.4,707.42
Tyler_Soderstrom_H,Tyler Soderstrom_H,1B;OF,81.8,701.3
David_Bednar_P,David Bednar_P,RP,82.8,510.92
Randy_Arozarena_H,Randy Arozarena_H,OF,83.0,712.0
Corey_Seager_H,Corey Seager_H,SS,83.8,759.6
Aroldis_Chapman_P,Aroldis Chapman_P,RP,84.2,514.82
Bo_Bichette_H,Bo Bichette_H,3B;SS,84.4,744.7
Eugenio_Suarez_H,Eugenio Suarez_H,3B;Util,84.6,720.9
Oneil_Cruz_H,Oneil Cruz_H,OF,84.6,669.5
Nick_Pivetta_P,Nick Pivetta_P,SP,88.4,769.76
Alex_Bregman_H,Alex Bregman_H,3B,88.8,739.9
Devin_Williams_P,Devin Williams_P,RP,89.0,516.66
Christian_Yelich_H,Christian Yelich_H,OF;Util,89.6,709.7
Nico_Hoerner_H,Nico Hoerner_H,2B,90.0,653.9
Nolan_McLean_P,Nolan McLean_P,SP,91.0,682.64
Eury_Perez_P,Eury Perez_P,SP,91.2,649.28
Seiya_Suzuki_H,Seiya Suzuki_H,OF;Util,93.6,751.0
Salvador_Perez_H,Salvador Perez_H,C;1B;Util,95.0,633.2
Will_Smith_H,Will Smith_H,C,95.2,612.0
Kevin_Gausman_P,Kevin Gausman_P,SP,96.0,794.88
Jose_Altuve_H,Jose Altuve_H,2B;OF;Util,96.2,709.5
Michael_Harris_II_H,Michael Harris II_H,OF,97.8,658.5
Michael_Busch_H,Michael Busch_H,1B,99.4,734.8
Sonny_Gray_P,Sonny Gray_P,SP,101.6,817.16
Drake_Baldwin_H,Drake Baldwin_H,C;Util,101.8,623.6
Jeremy_Pena_H,Jeremy Pena_H,SS,105.8,683.7
Willy_Adames_H,Willy Adames_H,SS,106.4,735.7
Jacob_Misiorowski_P,Jacob Misiorowski_P,SP,106.6,634.4
Spencer_Strider_P,Spencer Strider_P,SP,108.2,752.9
Teoscar_Hernandez_H,Teoscar Hernandez_H,OF,109.0,684.4
Agustin_Ramirez_H,Agustin Ramirez_H,C;Util,111.8,574.0
Luke_Keaschall_H,Luke Keaschall_H,2B,112.6,625.0
Tyler_Glasnow_P,Tyler Glasnow_P,SP,112.8,652.2
Raisel_Iglesias_P,Raisel Iglesias_P,RP,113.8,456.78
Chase_Burns_P,Chase Burns_P,SP;RP,114.2,591.82
